胃体中部後壁の潰瘍底より湧出性出血	予測１
胃体中部後壁の潰瘍底より湧出性出血	予測２
胃体中部後壁の潰瘍底より湧出性出血	予測３
難聴（両耳）	左耳難聴
難聴（両耳）	指の痙攣
難聴（両耳）	右半性骨ニューロパチー
鼻汁過多	肝癌
鼻汁過多	頚部感染
鼻汁過多	硬膜下血腫除去
左慢性硬膜下血腫	慢性硬膜下血腫
左慢性硬膜下血腫	発作性心房細動
左慢性硬膜下血腫	薬剤残留
食道静脈瘤←びらんあり	皮疹
食道静脈瘤←びらんあり	発作
食道静脈瘤←びらんあり	性器びらん
右下顎骨骨膜炎	薬剤残留
右下顎骨骨膜炎	陰茎コレステロール
右下顎骨骨膜炎	アレルギー性皮膚内異物
左上腕の腫脹感	腕の腫脹
左上腕の腫脹感	足の腫脹
左上腕の腫脹感	四肢浮腫
胸水の増悪	薬剤増悪
胸水の増悪	無し
胸水の増悪	咽頭乾燥
血清ＣＲＰ上昇	Ｃ－反応性蛋白検査結果高値
血清ＣＲＰ上昇	ＣＲＰ増加
血清ＣＲＰ上昇	薬剤腎症
高コレステロール症	足部白癬
高コレステロール症	ＡＬＰ増加
高コレステロール症	糖尿病性ニューロパチー
悪心（フェロミアによる）	予測１
悪心（フェロミアによる）	予測２
悪心（フェロミアによる）	予測３
慢性活動性ＥＢウイルス感染症	食道静脈瘤
慢性活動性ＥＢウイルス感染症	大動脈弁逆流症
慢性活動性ＥＢウイルス感染症	乳腺線維腺腫
肝細胞癌増大傾向	肝細胞癌
肝細胞癌増大傾向	大動脈弁瘤
肝細胞癌増大傾向	予測３
ＣＡ１９－９高値	無し
ＣＡ１９－９高値	月経内異物
ＣＡ１９－９高値	肩腹部
肝細胞癌の疑い	肝細胞癌
肝細胞癌の疑い	予測２
肝細胞癌の疑い	予測３
血糖上昇	肝細胞癌
血糖上昇	無し
血糖上昇	月経の増悪
心筋症、タナトリルはこれの増悪予防目的の投与	予測１
心筋症、タナトリルはこれの増悪予防目的の投与	予測２
心筋症、タナトリルはこれの増悪予防目的の投与	予測３
側彎症	予測１
側彎症	予測２
側彎症	予測３
嚥下性肺炎	心臓骨骨折
嚥下性肺炎	無し
嚥下性肺炎	ＣＡＢＧ
ＥＰＳ（腹膜硬化症）	予測１
ＥＰＳ（腹膜硬化症）	予測２
ＥＰＳ（腹膜硬化症）	予測３
皮膚の乾燥	皮膚乾燥
皮膚の乾燥	無し
皮膚の乾燥	肝癌
血清アミラーゼ値上昇	肝機能検査値上昇
血清アミラーゼ値上昇	血清カルシウム増加
血清アミラーゼ値上昇	無し
両指関節痛	左下腹部痛
両指関節痛	リンパ節痙攣
両指関節痛	上肢機能低下
腸管出血	ヘモグロビン高値
腸管出血	肺炎
腸管出血	高脂血症
ホットフラッシュ	予測１
ホットフラッシュ	予測２
ホットフラッシュ	予測３
交叉感染	予測１
交叉感染	予測２
交叉感染	予測３
声門下組織に出血	無し
声門下組織に出血	腸骨出血
声門下組織に出血	不正鎖骨下出血
逆流食道炎	肛門内異物
逆流食道炎	逆流性食道炎
逆流食道炎	不正腸
高血圧（６１才～）	高血圧
高血圧（６１才～）	創傷
高血圧（６１才～）	大腸結腸の悪性新生物
網脈絡膜瘢痕	無し
網脈絡膜瘢痕	挫傷
網脈絡膜瘢痕	Ａ型肝炎
左眼瞼下垂症	予測１
左眼瞼下垂症	予測２
左眼瞼下垂症	予測３
冠動脈ＣＴＡ	冠動脈コンピュータ断層撮影
冠動脈ＣＴＡ	冠皮的冠血管側動脈瘤
冠動脈ＣＴＡ	冠動脈バイパス
左背部打撲	手の挫傷
左背部打撲	挫傷
左背部打撲	上腕の挫傷
播種性血管内凝固症候群（DIC）	予測１
播種性血管内凝固症候群（DIC）	予測２
播種性血管内凝固症候群（DIC）	予測３
抜歯による痛み	無し
抜歯による痛み	外傷後疼痛
抜歯による痛み	足部痛
右眼黄斑円孔	黄斑円孔
右眼黄斑円孔	アレルギー
右眼黄斑円孔	無し
右手背切創	損傷
右手背切創	左室炎
右手背切創	無し
十二指腸潰瘍穿孔	無し
十二指腸潰瘍穿孔	回腸潰瘍
十二指腸潰瘍穿孔	腎障害
右胸部違和感	違和感
右胸部違和感	胸部異常
右胸部違和感	胸部不快感
不正出血（内膜細胞診のため）	下腿下腿石灰
不正出血（内膜細胞診のため）	咳嗽
不正出血（内膜細胞診のため）	異常内違和感
心房細動（（Ｈ２５１月に判明））	予測１
心房細動（（Ｈ２５１月に判明））	予測２
心房細動（（Ｈ２５１月に判明））	予測３
目まい	頻尿
目まい	無し
目まい	処置後
血清クレアチンフォスフォキナーゼの上昇	予測１
血清クレアチンフォスフォキナーゼの上昇	予測２
血清クレアチンフォスフォキナーゼの上昇	予測３
両性腎硬化症	無し
両性腎硬化症	腎硬化症
両性腎硬化症	腎症
両五十肩	皮膚剥離
両五十肩	急性子宮内膜症
両五十肩	月経周期管理
蜂巣炎（会陰）	心臓内血栓
蜂巣炎（会陰）	薬剤残留
蜂巣炎（会陰）	腫瘍性塞栓症
脊椎損傷	予測１
脊椎損傷	予測２
脊椎損傷	予測３
ｇａｓｔｒｉｃ ｕｌｃｅｒ	予測１
ｇａｓｔｒｉｃ ｕｌｃｅｒ	予測２
ｇａｓｔｒｉｃ ｕｌｃｅｒ	予測３
頭皮皮膚炎	外陰部そう痒症
