便塊除去	摘便
アルツハイマ-認知症	アルツハイマー型認知症
熱傷（背部）	背部熱傷、程度不明（部位を限定しない）
2015.8.12骨盤-その他-前立腺癌	前立腺癌
口のにがみ	苦味
軽度呼吸困難感	呼吸困難
両足関節偽痛風	偽痛風
内痔核出血	痔出血
背部皮脂欠乏性湿疹	皮脂欠乏性湿疹
左側頭葉出血	脳出血
肩凝症	肩こり
がん性疼痛	癌疼痛
脊髄管狭搾症	脊柱管狭窄症
口唇ヘルペスの悪化	口唇ヘルペス
死亡（腎細胞癌の増悪）	腎細胞癌
口が苦い	苦味
肝癌	肝癌
好中球↓	好中球数減少
第３指切傷	指の損傷ＮＯＳ
急性虫垂炎（１４才時手術）	急性虫垂炎
膀胱からの出血	膀胱出血
リンパ郭清	リンパ節郭清
閉塞性大動脈硬化症	閉塞性動脈硬化症
喀痰による閉塞	無し
心戻細動	心房細動
肺結亥	肺結核
くり返すシャント血栓症	シャント血栓症
２次性副甲状腺機能亢進症（ｉｎｔａｃｔＰＴＨ上昇）【ｉｎｔａｃｔＰＴＨ上昇】	ＰＴＨ増加
プラザキサによる腎機能悪化疑い	腎機能悪化
慢性血栓塞栓性肺高血圧症の増悪	慢性血栓塞栓性肺高血圧症
下肢浮腫（両足）	足部浮腫
心房頻拍	心房頻脈
頚部出血（頚部リンパ節からの出血。頚部リンパ節は記載あり）	リンパ節出血
両側総腸骨動脈瘤術後	腸骨動脈瘤
急性肺炎（重篤）	急性肺炎
永久ペースメーカー挿入	恒久的心臓ペースメーカー植込み
７２歳腹部大動脈瘤術後	大動脈瘤修復
ＨＤＬコレステロールの上昇	ＨＤＬコレステロール増加
薬物性紅皮症	紅皮症様薬疹
左眼底出血	眼底出血
手足皮膚症状【手足皮膚反応】	手足皮膚反応
僧帽弁逆流閉鎖不全	僧帽弁閉鎖不全症
手・足症候群	手足症候群
右甲状腺腺腫悪化	甲状腺腺腫
慢性多発性関節リウマチ	関節リウマチ
手足皮膚痛	皮膚疼痛
右足爪白癬症	爪白癬
右肘打撲	肘の挫傷
細菌性眼内炎（右眼）	感染性眼内炎
左後頭葉脳梗塞	脳梗塞
右正中神経損傷	正中神経損傷
異石灰化腫瘤【腫瘍状石灰沈着症】	腫瘍状石灰沈着症
左横静脈洞血栓症	横静脈洞血栓症
右陰嚢水腫	陰嚢水瘤
下壁誘導におけるST上昇	ＳＴ上昇
心弁置換手術	心臓弁置換
腹水増悪	腹水
HOTFLASH	ほてり
冠動脈スパズム	冠動脈攣縮
胆石症術後	胆石摘出
母趾圧痛	足指痛
突発性腹痛	腹痛
慢性蕁麻疹（全身）	慢性蕁麻疹
黒色液体の嘔吐	暗色吐物
消化管症状	胃腸症状ＮＯＳ
頭部挫創	挫創
重症呼吸不全	呼吸不全
２５才腸閉塞手術	腸閉塞
心内血栓（一過性）	心臓内血栓
左前腕の重圧感	四肢重感
聴力（聴力低下）	聴力低下
